source	target
बत्तख	ᱜᱷᱮᱸᱣᱮ
चिड़िया आकाश में उड़ रही है	ᱪᱮᱬᱮ ᱥᱮᱨᱢᱟ ᱨᱮ ᱩᱰᱟᱹᱣᱜ ᱠᱟᱱᱟᱭ
अपनी-अपनी जगह पर वापस जाओ	ᱟᱯᱱᱟᱨ-ᱟᱯᱱᱟᱨ ᱡᱟᱜᱟ ᱛᱮ ᱨᱩᱣᱟᱹᱲ ᱯᱮ
रात में चाँद चमकता है	ᱧᱤᱫᱟᱹ ᱨᱮ ᱧᱤᱫᱟᱹ ᱪᱟᱸᱫᱚᱭ ᱡᱩᱞᱩᱜ-ᱟ
इनमें से कौन अधिक लंबा है?	ᱱᱩᱠᱤᱱ ᱢᱩᱫᱽ ᱨᱮ ᱚᱠᱚᱭ ᱡᱤᱞᱤᱧ ᱜᱮᱭᱟᱭ?
चार किताब	ᱯᱩᱱ ᱯᱩᱛᱷᱤ
दो कान	ᱵᱟᱨ ᱞᱩᱛᱩᱨ
दो आँख गिनकर बताओ	ᱵᱟᱨ ᱢᱮᱫ ᱞᱮᱠᱷᱟ ᱠᱟᱛᱮ ᱞᱟᱹᱭ ᱢᱮ
पीला आम	ᱥᱟᱥᱟᱝ ᱩᱞ
लाल अनार लाओ	ᱟᱨᱟᱜ ᱟᱱᱟᱨ ᱟᱹᱜᱩᱭ ᱢᱮ
पाँच में तीन जोड़ने पर आठ बनता है	ᱢᱚᱬᱮ ᱨᱮ ᱯᱮ ᱡᱩᱲᱟᱹᱣ ᱞᱮᱠᱷᱟᱱ ᱤᱨᱟᱹᱞ ᱦᱩᱭᱩᱜ-ᱟ
शहद	ᱧᱮᱞᱮ ᱨᱟᱥᱟ
बोलने में संकोच मत करो	ᱨᱚᱲ ᱞᱟᱹᱜᱤᱫ ᱟᱞᱚᱢ ᱞᱟᱡᱟᱣᱜ-ᱟ
अपना पेंसिल दिखाओ	ᱟᱢᱟᱜ ᱯᱮᱱᱥᱤᱞ ᱩᱫᱩᱜ ᱢᱮ
चावल (कच्चा)	ᱪᱟᱣᱞᱮ
सात	ᱮᱭᱟᱭ
खाँसते समय मुँह पर हाथ रखो	ᱠᱷᱚᱜ ᱡᱚᱠᱷᱟᱜ ᱢᱚᱪᱟ ᱨᱮ ᱛᱤ ᱫᱚᱦᱚᱭ ᱢᱮ
भारी वस्तु को उठाओ और हल्की को पहचानो	ᱦᱟᱢᱟᱞ ᱡᱤᱱᱤᱥ ᱛᱩᱞ ᱢᱮ ᱟᱨ ᱨᱟᱣᱟᱞᱟᱜ ᱪᱤᱱᱦᱟᱹᱣ ᱢᱮ
साठ	ᱯᱮ ᱤᱥᱤ
सुनो	ᱟᱧᱡᱚᱢ ᱢᱮ
व्यायाम करने से शरीर मज़बूत बनता है	ᱠᱟᱹᱥᱨᱟᱹᱛ ᱞᱮᱠᱷᱟᱱ ᱦᱚᱲᱢᱚ ᱠᱮᱴᱮᱡᱚᱜ-ᱟ
मुझे रबर दो	ᱤᱧ ᱨᱚᱵᱚᱨ ᱮᱢᱟᱹᱧ ᱢᱮ
मुझे चॉक दो	ᱤᱧ ᱪᱚᱠ ᱮᱢᱟᱹᱧ ᱢᱮ
कॉपी	ᱠᱷᱟᱛᱟ
मुझे दो कान दो	ᱤᱧ ᱵᱟᱨ ᱞᱩᱛᱩᱨ ᱮᱢᱟᱹᱧ ᱢᱮ
पेड़ हमें फल देते हैं	ᱫᱟᱨᱮ ᱫᱚ ᱡᱚ ᱮᱢᱟᱵᱚᱱᱟ
यहाँ तीन किताब हैं	ᱱᱚᱸᱰᱮ ᱯᱮ ᱯᱩᱛᱷᱤ ᱢᱮᱱᱟᱜ-ᱟ
बस्ते में किताब रखो	ᱛᱷᱟᱹᱞᱤ ᱨᱮ ᱯᱩᱛᱷᱤ ᱫᱚᱦᱚᱭ ᱢᱮ
अपना स्लेट दिखाओ	ᱟᱢᱟᱜ ᱥᱞᱮᱴ ᱩᱫᱩᱜ ᱢᱮ
बकरी पत्ता खा रही है	ᱢᱮᱨᱚᱢ ᱥᱟᱠᱟᱢᱮ ᱡᱚᱢᱮᱫᱟ
अपनी किताब खोलो	ᱟᱢᱟᱜ ᱯᱩᱛᱷᱤ ᱡᱷᱤᱡᱽ ᱢᱮ
दो पैर	ᱵᱟᱨ ᱡᱟᱸᱜᱟ
मक्खी	ᱨᱳ
किसान हमारे लिए अनाज उगाता है	ᱪᱟᱥᱤ ᱦᱚᱲ ᱫᱚ ᱟᱵᱚ ᱞᱟᱹᱜᱤᱫ ᱡᱚᱢᱟᱜ-ᱮ ᱪᱟᱥᱟ
बस्ते से किताब निकालो	ᱛᱷᱟᱹᱞᱤ ᱠᱷᱚᱱ ᱯᱩᱛᱷᱤ ᱚᱰᱚᱠ ᱢᱮ
नाक से हम साँस लेते हैं	ᱢᱩᱸ ᱛᱮ ᱟᱵᱚᱵᱚ ᱥᱟᱦᱮᱫᱟ
दस उँगली	ᱜᱮᱞ ᱠᱟᱹᱴᱩᱵ
बारिश हो रही है	ᱫᱟᱜ ᱡᱟᱹᱲᱤ ᱧᱩᱨᱩᱜ ᱠᱟᱱᱟ
लंबा	ᱡᱤᱞᱤᱧ
आप यह काम ज़रूर कर सकते हैं	ᱟᱢ ᱱᱚᱣᱟ ᱠᱟᱹᱢᱤ ᱱᱤᱦᱟᱹᱛᱤᱢ ᱫᱟᱲᱮᱭᱟᱜ-ᱟ
यहाँ दो सेब हैं	ᱱᱚᱸᱰᱮ ᱵᱟᱨ ᱥᱮᱣ ᱢᱮᱱᱟᱜ-ᱟ
मुझे दो हाथ दो	ᱤᱧ ᱵᱟᱨ ᱛᱤ ᱮᱢᱟᱹᱧ ᱢᱮ
काली स्लेट पर चॉक से लिखो	ᱦᱮᱸᱫᱮ ᱥᱞᱮᱴ ᱨᱮ ᱪᱚᱠ ᱛᱮ ᱚᱞ ᱢᱮ
चालीस	ᱵᱟᱨ ᱤᱥᱤ
मुझे दो किताब दो	ᱤᱧ ᱵᱟᱨ ᱯᱩᱛᱷᱤ ᱮᱢᱟᱹᱧ ᱢᱮ
ग्यारह	ᱜᱮᱞ ᱢᱤᱫ
कलम	ᱠᱚᱞᱚᱢ
काला कौआ	ᱦᱮᱸᱫᱮ ᱠᱟᱶᱦᱮ
तीस	ᱤᱥᱤ ᱜᱮᱞ
यहाँ एक सेब हैं	ᱱᱚᱸᱰᱮ ᱢᱤᱫ ᱥᱮᱣ ᱢᱮᱱᱟᱜ-ᱟ
कक्षा में दौड़ो मत, आराम से चलो	ᱪᱟᱱᱟᱪ ᱨᱮ ᱟᱞᱚᱯᱮ ᱫᱟᱹᱲᱟ, ᱵᱷᱟᱹᱜᱤ ᱛᱮ ᱛᱟᱲᱟᱢ ᱯᱮ
बगीचे के माली पौधे सींच रहे हैं	ᱵᱟᱜᱟᱱ ᱨᱤᱱᱤᱡ ᱢᱟᱹᱞᱤ ᱫᱚ ᱫᱟᱨᱮ ᱨᱮ ᱫᱟᱜ-ᱮ ᱫᱩᱞᱮᱫᱟ
नौ	ᱟᱨᱮ
भैंस	ᱠᱟᱰᱟ
स्वस्थ शरीर में ही स्वस्थ मन रहता है	ᱱᱤᱨᱚᱜ ᱦᱚᱲᱢᱚ ᱨᱮᱜᱮ ᱱᱟᱯᱟᱭ ᱢᱚᱱᱮ ᱛᱟᱦᱮᱸᱱᱟ
नमक	ᱵᱩᱞᱩᱝ
कौआ पेड़ की डाल पर बैठा है	ᱠᱟᱣᱟ ᱫᱚ ᱫᱟᱨᱮ ᱰᱟᱹᱨ ᱨᱮᱭ ᱫᱩᱲᱩᱵ ᱟᱠᱟᱱᱟ
अपने बाल में कंघी करो	ᱟᱢᱟᱜ ᱩᱵ ᱱᱟᱹᱠᱤᱡ ᱢᱮ
विद्यालय (स्कूल)	ᱟᱥᱲᱟ
पाँच पेंसिल गिनकर बताओ	ᱢᱚᱬᱮ ᱯᱮᱱᱥᱤᱞ ᱞᱮᱠᱷᱟ ᱠᱟᱛᱮ ᱞᱟᱹᱭ ᱢᱮ
गंदे हाथों से आँखों को मत मलो	ᱵᱟᱹᱲᱤᱡ ᱛᱤ ᱛᱮ ᱢᱮᱫ ᱟᱞᱚᱢ ᱜᱟᱹᱥᱤᱭᱟ
बैल	ᱰᱟᱝᱜᱽᱨᱟ
चूहा	ᱜᱩᱛᱩ
अपने विद्यालय से प्रेम करो	ᱟᱯᱱᱟᱨ ᱟᱥᱲᱟ ᱫᱩᱞᱟᱹᱲ ᱢᱮ
घंटी बज गई	ᱜᱷᱟᱹᱱᱴᱤ ᱥᱟᱰᱮ ᱮᱱᱟ
पेंसिल और कॉपी निकालो	ᱯᱮᱱᱥᱤᱞ ᱟᱨ ᱠᱷᱟᱛᱟ ᱚᱰᱚᱠ ᱢᱮ
दो आँख	ᱵᱟᱨ ᱢᱮᱫ
अपनी स्लेट दिखाओ	ᱟᱢᱟᱜ ᱥᱞᱮᱴ ᱩᱫᱩᱜ ᱢᱮ
पेड़ का पत्ता हरा है	ᱫᱟᱨᱮ ᱨᱮᱭᱟᱜ ᱥᱟᱠᱟᱢ ᱫᱚ ᱦᱟᱹᱨᱤᱭᱟᱹᱲ ᱜᱮᱭᱟ
पाँच सेब	ᱢᱚᱬᱮ ᱥᱮᱣ
मुझे किताब दो	ᱤᱧ ᱯᱩᱛᱷᱤ ᱮᱢᱟᱹᱧ ᱢᱮ
लाल सेब	ᱟᱨᱟᱜ ᱥᱮᱣ
यह चौकोर आकृति बनाओ	ᱱᱚᱣᱟ ᱯᱩᱱᱠᱚᱬ ᱪᱤᱛᱟᱹᱨ ᱵᱮᱱᱟᱣ ᱢᱮ
आपने बहुत सुंदर चित्र बनाया है	ᱟᱢ ᱟᱹᱰᱤ ᱱᱟᱯᱟᱭ ᱪᱤᱛᱟᱹᱨᱮᱢ ᱵᱮᱱᱟᱣ ᱟᱠᱟᱫᱟ
दे दो	ᱮᱢ ᱢᱮ
साफ़ कपड़े पहनकर स्कूल आओ	ᱥᱟᱯᱷᱟ ᱞᱩᱜᱽᱲᱤ ᱦᱚᱨᱚᱜ ᱠᱟᱛᱮ ᱟᱥᱲᱟ ᱦᱤᱡᱩᱜ ᱢᱮ
अपना रबर दिखाओ	ᱟᱢᱟᱜ ᱨᱚᱵᱚᱨ ᱩᱫᱩᱜ ᱢᱮ
आज बहुत तेज़ बारिश हो रही है	ᱛᱮᱦᱮᱧ ᱟᱹᱰᱤ ᱡᱩᱨ ᱫᱟᱜ ᱡᱟᱹᱲᱤ ᱮᱫᱟᱭ
जामुन	ᱠᱩᱫᱽ
बछड़ा	ᱫᱟᱢᱲᱟ
सत्तर	ᱯᱮ ᱤᱥᱤ ᱜᱮᱞ
गाय हरी घास खा रही है	ᱜᱟᱹᱭ ᱦᱟᱹᱨᱤᱭᱟᱹᱲ ᱜᱷᱟᱥᱮ ᱡᱚᱢᱮᱫᱟ
मुझे पाँच सेब दो	ᱤᱧ ᱢᱚᱬᱮ ᱥᱮᱣ ᱮᱢᱟᱹᱧ ᱢᱮ
सबके साथ मिलकर रहो	ᱥᱟᱱᱟᱢ ᱠᱚ ᱥᱟᱶ ᱱᱟᱯᱟᱭ ᱛᱮ ᱛᱟᱦᱮᱸᱱ ᱯᱮ
कान से हम सुनते हैं	ᱞᱩᱛᱩᱨ ᱛᱮ ᱟᱵᱚᱵᱚ ᱟᱧᱡᱚᱢᱟ
नया	ᱱᱟᱣᱟ
बस्ते में चॉक रखो	ᱛᱷᱟᱹᱞᱤ ᱨᱮ ᱪᱚᱠ ᱫᱚᱦᱚᱭ ᱢᱮ
मुझे चार किताब दो	ᱤᱧ ᱯᱩᱱ ᱯᱩᱛᱷᱤ ᱮᱢᱟᱹᱧ ᱢᱮ
लिखो	ᱚᱞ ᱢᱮ
क्या आपके पास रबर है?	ᱪᱮᱫ ᱟᱢ ᱴᱷᱮᱱ ᱨᱚᱵᱚᱨ ᱢᱮᱱᱟᱜ-ᱟ?
गाँव के मुखिया का नाम क्या है?	ᱟᱹᱛᱩ ᱨᱤᱱᱤᱡ ᱢᱟᱹᱧᱡᱷᱤ ᱦᱟᱲᱟᱢᱟᱜ ᱧᱩᱛᱩᱢ ᱫᱚ ᱪᱮᱫ?
सूरज पूरब से निकलता है	ᱵᱮᱲᱟ ᱫᱚ ᱥᱟᱢᱟᱝ ᱠᱷᱚᱱ ᱨᱟᱠᱟᱵ-ᱟ
तेल	ᱥᱩᱱᱩᱢ
तालाब में मछलियाँ तैर रही हैं	ᱯᱩᱠᱷᱨᱤ ᱨᱮ ᱦᱟᱹᱠᱩ ᱠᱚ ᱯᱟᱹᱭᱨᱟᱹᱜ ᱠᱟᱱᱟ
बैल खेत जोतता है	ᱰᱟᱝᱜᱽᱨᱟ ᱫᱚ ᱠᱷᱮᱛ-ᱮ ᱥᱤᱭᱟ
बाघ	ᱛᱟᱹᱨᱩᱵ
यहाँ चार किताब हैं	ᱱᱚᱸᱰᱮ ᱯᱩᱱ ᱯᱩᱛᱷᱤ ᱢᱮᱱᱟᱜ-ᱟ
आलू	ᱟᱹᱞᱩ
चलो, हम सब मिलकर प्रार्थना गाएँ	ᱫᱮᱞᱟᱵᱚ ᱥᱟᱱᱟᱢ ᱠᱚ ᱢᱮᱥᱟ ᱠᱟᱛᱮ ᱵᱤᱱᱛᱤ ᱥᱮᱨᱮᱧᱟᱵᱚ
दो किताब गिनकर बताओ	ᱵᱟᱨ ᱯᱩᱛᱷᱤ ᱞᱮᱠᱷᱟ ᱠᱟᱛᱮ ᱞᱟᱹᱭ ᱢᱮ
क्या आपके पास चॉक है?	ᱪᱮᱫ ᱟᱢ ᱴᱷᱮᱱ ᱪᱚᱠ ᱢᱮᱱᱟᱜ-ᱟ?
खेलने के बाद हाथ-मुँह धोना चाहिए	ᱮᱱᱮᱡ ᱛᱟᱭᱚᱢ ᱛᱤ-ᱢᱚᱪᱟ ᱟᱹᱨᱩᱵ ᱞᱟᱹᱠᱛᱤ ᱠᱟᱱᱟ
सब शांत रहो और ध्यान से सुनो	ᱥᱟᱱᱟᱢ ᱠᱚ ᱛᱷᱤᱨᱩᱜ ᱯᱮ ᱟᱨ ᱫᱷᱮᱭᱟᱱ ᱛᱮ ᱟᱧᱡᱚᱢ ᱯᱮ
कक्षा में हमेशा सीधे बैठकर पढ़ो	ᱪᱟᱱᱟᱪ ᱨᱮ ᱡᱟᱣᱜᱮ ᱥᱚᱡᱷᱮ ᱫᱩᱲᱩᱵ ᱠᱟᱛᱮ ᱯᱟᱲᱦᱟᱣ ᱢᱮ
धन्यवाद	ᱥᱟᱨᱦᱟᱣ
क्या आपके पास किताब है?	ᱪᱮᱫ ᱟᱢ ᱴᱷᱮᱱ ᱯᱩᱛᱷᱤ ᱢᱮᱱᱟᱜ-ᱟ?
यहाँ एक पेंसिल हैं	ᱱᱚᱸᱰᱮ ᱢᱤᱫ ᱯᱮᱱᱥᱤᱞ ᱢᱮᱱᱟᱜ-ᱟ
चार और दो मिलकर कितने होते हैं?	ᱯᱩᱱᱭᱟᱹ ᱟᱨ ᱵᱟᱨᱭᱟ ᱢᱮᱥᱟ ᱠᱟᱛᱮ ᱛᱤᱱᱟᱹᱜ ᱦᱩᱭᱩᱜ-ᱟ?
नदी में साफ़ पानी बह रहा है	ᱜᱟᱰᱟ ᱨᱮ ᱥᱟᱯᱷᱟ ᱫᱟᱜ ᱞᱤᱸᱜᱤᱱ ᱠᱟᱱᱟ
हमेशा हँसते और मुस्कुराते रहो	ᱡᱟᱣᱜᱮ ᱞᱟᱸᱫᱟᱭ ᱢᱮ ᱟᱨ ᱨᱟᱹᱥᱠᱟᱹ ᱛᱮ ᱛᱟᱦᱮᱸᱱ ᱢᱮ
घंटी	ᱜᱷᱟᱹᱱᱴᱤ
एक से पाँच तक गिनो	ᱢᱤᱫ ᱠᱷᱚᱱ ᱢᱚᱬᱮ ᱫᱷᱟᱹᱵᱤᱡ ᱞᱮᱠᱷᱟᱭ ᱢᱮ
सुअर	ᱥᱩᱠᱨᱤ
हिरण	ᱡᱷᱚᱝᱠᱟᱨ
वह मेरा सबसे अच्छा दोस्त है	ᱩᱱᱤ ᱫᱚ ᱤᱧᱤᱡ ᱡᱚᱛᱚ ᱠᱷᱚᱱ ᱵᱷᱟᱹᱜᱤ ᱜᱟᱛᱮ ᱠᱟᱱᱟᱭ
शाम का समय	ᱛᱟᱹᱨᱟᱹᱥᱤᱧ ᱚᱠᱛᱚ
धोओ	ᱟᱹᱨᱩᱵ ᱢᱮ
दो हाथ	ᱵᱟᱨ ᱛᱤ
हरा पत्ता	ᱦᱟᱹᱨᱤᱭᱟᱹᱲ ᱥᱟᱠᱟᱢ
जीभ	ᱟᱞᱟᱝ
ताज़ा पीला केला खाओ	ᱵᱤᱞᱤ ᱥᱟᱥᱟᱝ ᱠᱟᱭᱨᱟ ᱡᱚᱢ ᱢᱮ
शुभ दोपहर	ᱥᱟᱹᱜᱩᱱ ᱛᱤᱠᱤᱱ
नाटा (छोटा)	ᱠᱷᱟᱴᱚ
कुत्ता घर की रखवाली करता है	ᱥᱮᱛᱟ ᱫᱚ ᱚᱲᱟᱜ-ᱮ ᱨᱩᱠᱷᱤᱭᱟᱹᱭᱟ
करेला	ᱠᱟᱨᱞᱟ
मेरी चाची बहुत स्वादिष्ट खाना बनाती हैं	ᱤᱧ ᱠᱟᱹᱠᱤ ᱫᱚ ᱟᱹᱰᱤ ᱥᱤᱵᱤᱞ ᱡᱚᱢᱟᱜ-ᱮ ᱛᱮᱭᱟᱨᱟ
अदरक	ᱟᱫᱟ
क्या आपके पास पेंसिल है?	ᱪᱮᱫ ᱟᱢ ᱴᱷᱮᱱ ᱯᱮᱱᱥᱤᱞ ᱢᱮᱱᱟᱜ-ᱟ?
चलो हम सब मिलकर दस तक गिनती करें	ᱫᱮᱞᱟᱵᱚ ᱥᱟᱱᱟᱢ ᱠᱚ ᱢᱮᱥᱟ ᱠᱟᱛᱮ ᱜᱮᱞ ᱫᱷᱟᱹᱵᱤᱡ ᱞᱮᱠᱷᱟᱭ ᱵᱚ
मुझे एक किताब दो	ᱤᱧ ᱢᱤᱫ ᱯᱩᱛᱷᱤ ᱮᱢᱟᱹᱧ ᱢᱮ
दादाजी हमें कहानी सुनाते हैं	ᱜᱚᱲᱚᱢ ᱦᱟᱲᱟᱢ ᱫᱚ ᱠᱟᱹᱦᱱᱤᱭ ᱞᱟᱹᱭᱟᱵᱚᱱᱟ
पचास	ᱵᱟᱨ ᱤᱥᱤ ᱜᱮᱞ
मुझे एक पेंसिल दो	ᱤᱧ ᱢᱤᱫ ᱯᱮᱱᱥᱤᱞ ᱮᱢᱟᱹᱧ ᱢᱮ
नदी में बहुत पानी बह रहा है	ᱜᱟᱰᱟ ᱨᱮ ᱟᱹᱰᱤ ᱟᱭᱢᱟ ᱫᱟᱜ ᱞᱤᱸᱜᱤᱱ ᱠᱟᱱᱟ
मुझे तीन सेब दो	ᱤᱧ ᱯᱮ ᱥᱮᱣ ᱮᱢᱟᱹᱧ ᱢᱮ
सिर	ᱵᱚᱦᱚᱜ
थाली में सफेद चावल रखो	ᱛᱷᱟᱹᱨᱤ ᱨᱮ ᱯᱩᱸᱰ ᱪᱟᱣᱞᱮ ᱫᱚᱦᱚᱭ ᱢᱮ
दो पेंसिल गिनकर बताओ	ᱵᱟᱨ ᱯᱮᱱᱥᱤᱞ ᱞᱮᱠᱷᱟ ᱠᱟᱛᱮ ᱞᱟᱹᱭ ᱢᱮ
जंगल में बहुत सारे पेड़ हैं	ᱵᱤᱨ ᱨᱮ ᱟᱹᱰᱤ ᱟᱭᱢᱟ ᱫᱟᱨᱮ ᱢᱮᱱᱟᱜ-ᱟ
दौड़ो	ᱫᱟᱹᱲ ᱢᱮ
गोल घेरे को पहचानो	ᱜᱩᱞᱟᱹᱭ ᱠᱷᱚᱸᱫᱽ ᱪᱤᱱᱦᱟᱹᱣ ᱢᱮ
कौआ	ᱠᱟᱣᱟ
यह चित्र किसका है?	ᱱᱚᱣᱟ ᱪᱤᱛᱟᱹᱨ ᱫᱚ ᱚᱠᱚᱭᱟᱜ ᱠᱟᱱᱟ?
घोड़ा	ᱥᱟᱫᱚᱢ
दूध	ᱛᱚᱣᱟ
सफेद चावल	ᱯᱩᱸᱰ ᱪᱟᱣᱞᱮ
दो कदम आगे चलो	ᱵᱟᱨ ᱛᱟᱲᱟᱢ ᱞᱟᱦᱟ ᱛᱮ ᱥᱮᱱᱚᱜ ᱢᱮ
यह रेखा मोटी है	ᱱᱚᱣᱟ ᱜᱟᱟᱨ ᱫᱚ ᱢᱚᱴᱟ ᱜᱮᱭᱟ
एक सीधी कतार बनाओ	ᱢᱤᱫᱴᱟᱝ ᱥᱚᱡᱷᱮ ᱛᱷᱟᱨ ᱵᱮᱱᱟᱣ ᱯᱮ
कागज़	ᱠᱟᱜᱚᱡᱽ
तीन सेब गिनकर बताओ	ᱯᱮ ᱥᱮᱣ ᱞᱮᱠᱷᱟ ᱠᱟᱛᱮ ᱞᱟᱹᱭ ᱢᱮ
खाओ	ᱡᱚᱢ ᱢᱮ
यहाँ चार सेब हैं	ᱱᱚᱸᱰᱮ ᱯᱩᱱ ᱥᱮᱣ ᱢᱮᱱᱟᱜ-ᱟ
एक पेंसिल	ᱢᱤᱫ ᱯᱮᱱᱥᱤᱞ
मेरी बड़ी बहन स्कूल जा रही है	ᱤᱧᱤᱡ ᱢᱟᱨᱟᱝ ᱫᱟᱹᱭ ᱟᱥᱲᱟ ᱛᱮᱭ ᱪᱟᱞᱟᱜ ᱠᱟᱱᱟ
चिड़िया आकाश में उड़ती है	ᱪᱮᱬᱮ ᱫᱚ ᱥᱮᱨᱢᱟ ᱨᱮᱭ ᱩᱰᱟᱹᱣᱜ-ᱟ
चलो हम सब मिलकर गणित का खेल खेलें	ᱫᱮᱞᱟᱵᱚ ᱥᱟᱱᱟᱢ ᱠᱚ ᱢᱮᱥᱟ ᱠᱟᱛᱮ ᱞᱮᱠᱷᱟ ᱨᱮᱱᱟᱜ ᱮᱱᱮᱡ ᱮᱱᱮᱡᱟᱵᱚ
चित्र देखकर कहानी बताओ	ᱪᱤᱛᱟᱹᱨ ᱧᱮᱞ ᱠᱟᱛᱮ ᱠᱟᱹᱦᱱᱤ ᱞᱟᱹᱭ ᱢᱮ
कद्दू (लौकी)	ᱦᱚᱛᱚᱫ
खीरा	ᱛᱟᱹᱦᱩᱸ
हवा चलने से पत्ते हिल रहे हैं	ᱦᱚᱭ ᱛᱮ ᱥᱟᱠᱟᱢ ᱠᱚ ᱦᱤᱞᱟᱹᱣᱜ ᱠᱟᱱᱟ
ताज़ा लाल टमाटर खाओ	ᱵᱤᱞᱤ ᱟᱨᱟᱜ ᱵᱤᱞᱟᱹᱛᱤ ᱡᱚᱢ ᱢᱮ
यहाँ पाँच किताब हैं	ᱱᱚᱸᱰᱮ ᱢᱚᱬᱮ ᱯᱩᱛᱷᱤ ᱢᱮᱱᱟᱜ-ᱟ
पाँच	ᱢᱚᱬᱮ
पेंसिल	ᱯᱮᱱᱥᱤᱞ
बीस	ᱤᱥᱤ
स्लेट	ᱥᱞᱮᱴ
इस प्रश्न का उत्तर कौन जानता है?	ᱱᱚᱣᱟ ᱠᱩᱠᱞᱤ ᱨᱮᱱᱟᱜ ᱛᱮᱞᱟ ᱚᱠᱚᱭᱮ ᱵᱟᱰᱟᱭᱟ?
बंदर	ᱜᱟᱹᱰᱤ
यहाँ दो हाथ हैं	ᱱᱚᱸᱰᱮ ᱵᱟᱨ ᱛᱤ ᱢᱮᱱᱟᱜ-ᱟ
तुम्हारा नाम क्या है?	ᱟᱢᱟᱜ ᱧᱩᱛᱩᱢ ᱫᱚ ᱪᱮᱫ?
आग में सूखी लकड़ियाँ डालो	ᱥᱮᱸᱜᱮᱞ ᱨᱮ ᱨᱚᱦᱚᱲ ᱥᱟᱦᱟᱱ ᱠᱷᱟᱸᱡᱚᱭ ᱢᱮ
पाँच पेंसिल	ᱢᱚᱬᱮ ᱯᱮᱱᱥᱤᱞ
पेड़ की छाया में बैठो	ᱫᱟᱨᱮ ᱩᱢᱩᱞ ᱨᱮ ᱫᱩᱲᱩᱵ ᱢᱮ
पपीता	ᱟᱢᱨᱤᱛ
आँख	ᱢᱮᱫ
तीन	ᱯᱮ
हरी मिर्च	ᱢᱟᱹᱨᱤᱪ
हाथ	ᱛᱤ
लाल अनार	ᱟᱨᱟᱜ ᱟᱱᱟᱨ
मीठा लाल सेब खाओ	ᱦᱮᱲᱮᱢ ᱟᱨᱟᱜ ᱥᱮᱣ ᱡᱚᱢ ᱢᱮ
शांत रहो	ᱛᱷᱤᱨᱩᱜ ᱢᱮ
तितली	ᱯᱤᱯᱤᱲᱤᱭᱟᱹᱝ
खाना खाने से पहले हाथ धोओ	ᱡᱚᱢ ᱢᱟᱬᱟᱝ ᱨᱮ ᱛᱤ ᱟᱹᱨᱩᱵ ᱢᱮ
श्यामपट्ट की ओर देखो	ᱦᱮᱸᱫᱮ ᱯᱟᱴᱟ ᱥᱮᱫ ᱠᱚᱭᱚᱜ ᱢᱮ
इस शब्द का पहला अक्षर क्या है?	ᱱᱚᱣᱟ ᱟᱹᱲᱟᱹ ᱨᱮᱱᱟᱜ ᱯᱟᱹᱦᱤᱞ ᱟᱠᱷᱚᱨ ᱫᱚ ᱪᱮᱫ?
छह	ᱛᱩᱨᱩᱭ
अपनी चीज़ें बाँटकर खेलो	ᱟᱯᱱᱟᱨ ᱡᱤᱱᱤᱥ ᱦᱟᱹᱴᱤᱧ ᱠᱟᱛᱮ ᱮᱱᱮᱡ ᱯᱮ
यहाँ दस उँगली हैं	ᱱᱚᱸᱰᱮ ᱜᱮᱞ ᱠᱟᱹᱴᱩᱵ ᱢᱮᱱᱟᱜ-ᱟ
ताज़ा फल और हरी सब्ज़ियाँ खाओ	ᱵᱤᱞᱤ ᱡᱚ ᱟᱨ ᱦᱟᱹᱨᱤᱭᱟᱹᱲ ᱩᱛᱩ ᱡᱚᱢ ᱢᱮ
किताब बंद करो	ᱯᱩᱛᱷᱤ ᱯᱚᱴᱚᱢ ᱢᱮ
घंटी बजाओ	ᱜᱷᱟᱹᱱᱴᱤ ᱨᱩᱭ ᱢᱮ
कुर्सी पर बैठो	ᱢᱟᱹᱪᱤ ᱨᱮ ᱫᱩᱲᱩᱵ ᱢᱮ
मुश्किल समय में हिम्मत मत हारो	ᱢᱩᱦᱤᱢ ᱚᱠᱛᱚ ᱨᱮ ᱢᱚᱱᱮ ᱟᱞᱚᱢ ᱠᱷᱟᱴᱚᱭᱟ
सोओ	ᱜᱤᱛᱤᱡ ᱢᱮ
मुझे दो आँख दो	ᱤᱧ ᱵᱟᱨ ᱢᱮᱫ ᱮᱢᱟᱹᱧ ᱢᱮ
तोता	ᱢᱤᱨᱩ
पढ़ो	ᱯᱟᱲᱦᱟᱣ ᱢᱮ
तीखा	ᱦᱟᱫᱽ
कोई संदेह हो तो मुझसे पूछो	ᱡᱟᱦᱟᱸᱱᱟᱜ ᱠᱩᱠᱞᱤ ᱛᱟᱦᱮᱸᱱ ᱠᱷᱟᱱ ᱤᱧ ᱠᱩᱞᱤᱭᱤᱧ ᱢᱮ
दो किताब	ᱵᱟᱨ ᱯᱩᱛᱷᱤ
इमली	ᱡᱚᱡᱚ
काली स्लेट	ᱦᱮᱸᱫᱮ ᱥᱞᱮᱴ
यह क्या है?	ᱱᱚᱣᱟ ᱫᱚ ᱪᱮᱫ ᱠᱟᱱᱟ?
यहाँ तीन पेंसिल हैं	ᱱᱚᱸᱰᱮ ᱯᱮ ᱯᱮᱱᱥᱤᱞ ᱢᱮᱱᱟᱜ-ᱟ
भालू	ᱵᱟᱱᱟ
